status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
62317591679_10155412321761680,"President Donald Trump is set to meet Japanese Prime Minister Shinzo Abe at Mar-a-Lago to discuss ""the international campaign to maintain maximum pressure"" on North Korea ahead of a planned summit between the president and North Korean Leader Kim Jong Un, the White House said Monday.","Trump, Abe to discuss 'maximum pressure' on North Korea at April meeting",link,https://politi.co/2H612pw,https://www.facebook.com/politico/posts/10155412321761680,2018-04-02 17:00:03,10,6,2,4,0,0,0,4,2
62317591679_10155412266976680,"There's less than a year to go before the U.K. leaves the EU, and some manufacturers are already losing contracts because of Brexit, according to this study.",1 in 5 UK manufacturing jobs at risk because of Brexit: study,link,https://politi.co/2pZLawE,https://www.facebook.com/politico/posts/10155412266976680,2018-04-02 16:30:17,55,3,21,20,0,14,15,3,3
62317591679_10155412218796680,"Donovan says former GOP Rep. Michael Grimm — who is challenging Donovan in the Republican primary in June — is behind an ethics complaint claiming that Donovan intervened in the arrest of Timothy O'Connell, the son of Donovan's domestic partner, Serena Stonick.",Donovan blames Grimm for heroin arrest flap,link,https://politi.co/2GvkBKU,https://www.facebook.com/politico/posts/10155412218796680,2018-04-02 16:00:07,16,6,4,8,0,6,0,1,1
62317591679_10155412211901680,"BREAKING: Rep. Elizabeth Esty (D-Conn.) announced she will not run for reelection after coming under fire for her handling of sexual harassment allegations by her former chief of staff.

https://www.politico.com/story/2018/04/02/rep-esty-wont-run-for-reelection-after-mishandling-harassment-allegations-495696",,photo,https://www.facebook.com/politico/photos/a.62440786679.82359.62317591679/10155412203431680/?type=3,https://www.facebook.com/politico/posts/10155412211901680,2018-04-02 15:56:14,167,20,27,120,2,25,12,5,3
62317591679_10155412175176680,"President Donald Trump congratulated Sisi — who in July 2013 played a role in the military coup against Egypt's first democratically elected president, Mohamed Morsi — in a phone call Monday, the White House said.","White House, State strike different tones on Egyptian election",link,https://politi.co/2uLLdSk,https://www.facebook.com/politico/posts/10155412175176680,2018-04-02 15:30:12,64,19,17,14,0,3,4,1,42
62317591679_10155412127116680,"""This is a tax on American farmers, brought about by protectionist trade policies,"" former U.S. Ambassador to China Max Baucus, who now co-chairs the Farmers for Free Trade coalition, said in a statement Monday. ""American farmers appear to be the first casualties of an escalating trade war.""",China-Trump trade fight spurs market worries,link,https://politi.co/2H2MNBy,https://www.facebook.com/politico/posts/10155412127116680,2018-04-02 15:00:15,123,32,61,59,3,5,6,25,25
62317591679_10155412041551680,"The Federal Election Commission is asking a leadership PAC previously affiliated with Interior Secretary Ryan Zinke to account for more than $600,000 of previously unreported contributions from the first six months of 2017.",FEC increases scrutiny of Zinke's former PAC,link,https://politi.co/2GJNDFR,https://www.facebook.com/politico/posts/10155412041551680,2018-04-02 14:30:06,447,42,87,339,21,54,20,0,13
62317591679_10155412034876680,A new lawsuit from the Trump administration says this California law is unconstitutional because it interferes with Congress' right to control the sale of federal property.,Trump administration sues California over state law on federal land transfers,link,https://www.politico.com/story/2018/04/02/trump-administration-sues-california-over-state-law-on-federal-land-transfers-495648,https://www.facebook.com/politico/posts/10155412034876680,2018-04-02 14:27:11,485,85,102,85,6,36,66,7,285
62317591679_10155411978421680,"""The Democrats have really let them down,"" President Donald J. Trump replied when asked about undocumented immigrants during the annual White House Egg Roll. ""It's a shame. And now people are taking advantage of DACA and that's a shame."" Read more: https://politi.co/2GvdUV0",Trump on DACA kids at annual Easter Egg Roll (2018),video,https://www.facebook.com/politico/videos/10155411978421680/,https://www.facebook.com/politico/videos/10155411978421680/,2018-04-02 14:01:13,444,290,78,60,2,18,71,7,286
62317591679_10155411907971680,"White House director of strategic communications Mercedes Schlapp said during an interview that White House chief of staff John Kelly gave former VA head David Shulkin an ""opportunity to resign"" from the job.",White House appears to shift explanation on whether Shulkin resigned or was fired,link,https://politi.co/2J8QA13,https://www.facebook.com/politico/posts/10155411907971680,2018-04-02 13:30:15,177,70,26,42,0,12,75,1,47
