,0
0,2016
1,actual
2,address
3,aid
4,alleg
5,also
6,america
7,american
8,among
9,back
10,bad
11,barack
12,battleground
13,berni
14,best
15,better
16,bill
17,black
18,board
19,break
20,bush
21,busi
22,bust
23,call
24,came
25,campaign
26,candid
27,carolina
28,caught
29,chariti
30,check
31,children
32,chris
33,christi
34,citi
35,claim
36,clinton
37,cnn
38,come
39,communiti
40,compani
41,controversi
42,countri
43,court
44,crime
45,crimin
46,crisi
47,critic
48,cruz
49,dead
50,debat
51,definit
52,direct
53,director
54,donald
55,done
56,drug
57,effort
58,email
59,employe
60,entir
61,event
62,evid
63,expos
64,fact
65,fast
66,father
67,fbi
68,first
69,florida
70,follow
71,foreign
72,former
73,foundat
74,fox
75,frisk
76,gari
77,georg
78,get
79,give
80,gop
81,gun
82,happen
83,hell
84,hide
85,hofstra
86,holt
87,huge
88,immigr
89,includ
90,interview
91,jill
92,johnson
93,kill
94,latest
95,leader
96,leav
97,lester
98,lie
99,littl
100,look
101,make
102,may
103,mayb
104,mean
105,mike
106,militari
107,million
108,minut
109,monday
110,morn
111,mouth
112,move
113,name
114,nation
115,new
116,night
117,nomine
118,north
119,offic
120,open
121,part
122,paul
123,pay
124,penc
125,person
126,point
127,polici
128,polit
129,poll
130,prais
131,prepar
132,presid
133,presidenti
134,pretti
135,privat
136,profil
137,public
138,question
139,rahami
140,receiv
141,record
142,refuge
143,rep
144,republican
145,respect
146,riot
147,run
148,russia
149,russian
150,ryan
151,said
152,sander
153,say
154,second
155,secretari
156,senat
157,set
158,shoot
159,show
160,sight
161,spend
162,stage
163,stand
164,start
165,state
166,stop
167,su
168,suggest
169,support
170,syrian
171,system
172,take
173,ted
174,televis
175,tell
176,terrifi
177,three
178,tie
179,tim
180,time
181,total
182,tri
183,trump
184,tweet
185,two
186,univers
187,video
188,vote
189,voter
190,want
191,war
192,week
193,win
194,women
195,wonder
196,work
197,wow
198,year
199,york
200,num_reactions
201,num_comments
202,num_shares
203,num_likes
204,num_loves
205,num_wows
206,num_hahas
207,num_sads
208,num_angrys
209,Category_left
210,Category_mainstream
211,Category_right
